alpha,RMSE.ByUser,RMSE.ByRating,MAE.ByUser,MAE.ByRating
1.0,0.910830048323,0.949691982272,0.745101211221,0.745101211221
2.0,0.909745890517,0.948522013707,0.744020196515,0.744020196515
3.0,0.909300706655,0.947975584135,0.743443652832,0.743443652832
4.0,0.908552410857,0.947173712067,0.74268177856,0.74268177856
5.0,0.908148755806,0.946673388561,0.742192292594,0.742192292594
6.0,0.908241714726,0.946677144915,0.742075180258,0.742075180258
7.0,0.908270269194,0.946638257892,0.742074352463,0.742074352463
8.0,0.908125941204,0.946411954902,0.74197019675,0.74197019675
9.0,0.908141491416,0.946421193642,0.741894697645,0.741894697645
10.0,0.908218465747,0.946460724177,0.741878662722,0.741878662722
11.0,0.908373838852,0.946663373916,0.741978414734,0.741978414734
12.0,0.908155676964,0.946472321235,0.741802471077,0.741802471077
