alpha_nL,diffusion_abs_distance_similarity_RMSE.ByUser_improvement,diffusion_abs_distance_similarity_RMSE.ByUser_average,diffusion_abs_distance_similarity_RMSE.ByRating_improvement,diffusion_abs_distance_similarity_RMSE.ByRating_average,diffusion_abs_distance_similarity_MAE.ByUser_improvement,diffusion_abs_distance_similarity_MAE.ByUser_average,diffusion_abs_distance_similarity_MAE.ByRating_improvement,diffusion_abs_distance_similarity_MAE.ByRating_average,diffusion_distance_similarity_RMSE.ByUser_improvement,diffusion_distance_similarity_RMSE.ByUser_average,diffusion_distance_similarity_RMSE.ByRating_improvement,diffusion_distance_similarity_RMSE.ByRating_average,diffusion_distance_similarity_MAE.ByUser_improvement,diffusion_distance_similarity_MAE.ByUser_average,diffusion_distance_similarity_MAE.ByRating_improvement,diffusion_distance_similarity_MAE.ByRating_average,diffusion_norm_distance_similarity_RMSE.ByUser_improvement,diffusion_norm_distance_similarity_RMSE.ByUser_average,diffusion_norm_distance_similarity_RMSE.ByRating_improvement,diffusion_norm_distance_similarity_RMSE.ByRating_average,diffusion_norm_distance_similarity_MAE.ByUser_improvement,diffusion_norm_distance_similarity_MAE.ByUser_average,diffusion_norm_distance_similarity_MAE.ByRating_improvement,diffusion_norm_distance_similarity_MAE.ByRating_average,regular_distance_similarity_RMSE.ByUser_improvement,regular_distance_similarity_RMSE.ByUser_average,regular_distance_similarity_RMSE.ByRating_improvement,regular_distance_similarity_RMSE.ByRating_average,regular_distance_similarity_MAE.ByUser_improvement,regular_distance_similarity_MAE.ByUser_average,regular_distance_similarity_MAE.ByRating_improvement,regular_distance_similarity_MAE.ByRating_average
0.5,-0.166274367834,0.994474508495,-0.0658049827857,1.00256666081,-0.208249798669,0.819192061485,-0.125109525723,0.795046450433,-0.166274367834,0.994474508495,-0.0658049827857,1.00256666081,-0.208249798669,0.819192061485,-0.125109525723,0.795046450433,-0.654194126272,0.99931869148,-0.6435938358,1.00835556983,-0.700932236851,0.82321968938,-0.766654319953,0.800140656211,0.0,0.992823697169,0.0,1.00190735584,0.0,0.817489640954,0.0,0.794053014473
1.0,-0.0314646774342,0.993136085943,0.183000671895,1.00007385865,-0.102342404706,0.81832627951,0.133104399046,0.79299609498,-0.0314646774342,0.993136085943,0.183000671895,1.00007385865,-0.102342404706,0.81832627951,0.133104399046,0.79299609498,-1.07000188788,1.00344692947,-1.06836283021,1.01261136163,-1.15976890528,0.826970631613,-1.25943333309,0.804053582819,0.0,0.992823697169,0.0,1.00190735584,0.0,0.817489640954,0.0,0.794053014473
2.0,0.0311929130214,0.992514006537,0.469002781831,0.997208382474,0.0658660782423,0.816951192587,0.468420772236,0.79033350521,0.0311929130214,0.992514006537,0.469002781831,0.997208382474,0.0658660782423,0.816951192587,0.468420772236,0.79033350521,-1.47253453942,1.00744336903,-1.43782230663,1.0163130033,-1.58003356283,0.830406251653,-1.6632025384,0.807259724365,0.0,0.992823697169,0.0,1.00190735584,0.0,0.817489640954,0.0,0.794053014473
3.0,0.0910732887184,0.991919499977,0.638317894073,0.99551200191,0.150034116845,0.81626312759,0.708705798708,0.788425514714,0.0910732887184,0.991919499977,0.638317894073,0.99551200191,0.150034116845,0.81626312759,0.708705798708,0.788425514714,-1.68351495443,1.00953803258,-1.57833619747,1.01772082231,-1.82371037518,0.832398284352,-1.84955340995,0.808739449079,0.0,0.992823697169,0.0,1.00190735584,0.0,0.817489640954,0.0,0.794053014473
4.0,0.175967739209,0.991076647755,0.795177776058,0.993940411214,0.257558534427,0.815384126615,0.877334226644,0.787086515599,0.175967739209,0.991076647755,0.795177776058,0.993940411214,0.257558534427,0.815384126615,0.877334226644,0.787086515599,-1.87449395381,1.01143411734,-1.63929256357,1.01833154862,-2.01775211906,0.833984555507,-1.88058105103,0.808985824998,0.0,0.992823697169,0.0,1.00190735584,0.0,0.817489640954,0.0,0.794053014473
5.0,0.166660736742,0.991169049881,0.85447151364,0.993346342896,0.22696161667,0.815634253248,0.940519418656,0.786584791677,0.166660736742,0.991169049881,0.85447151364,0.993346342896,0.22696161667,0.815634253248,0.940519418656,0.786584791677,-2.01107786605,1.01279015479,-1.6389638584,1.0183282553,-2.11353262048,0.834767551184,-1.87994456889,0.808980770992,0.0,0.992823697169,0.0,1.00190735584,0.0,0.817489640954,0.0,0.794053014473
6.0,0.224855845968,0.990591275046,0.95920849529,0.992296975372,0.271372645241,0.81527119769,1.02972473763,0.785876454153,0.224855845968,0.990591275046,0.95920849529,0.992296975372,0.271372645241,0.81527119769,1.02972473763,0.785876454153,-2.0364101023,1.01304165924,-1.56057675273,1.01754288912,-2.11291918193,0.834762536388,-1.80004492109,0.80834632543,0.0,0.992823697169,0.0,1.00190735584,0.0,0.817489640954,0.0,0.794053014473
7.0,0.218151353847,0.990657838832,1.03530091328,0.991534599839,0.224024729632,0.815658261996,1.09339153784,0.785370906006,0.218151353847,0.990657838832,1.03530091328,0.991534599839,0.224024729632,0.815658261996,1.09339153784,0.785370906006,-1.96530500785,1.01233571101,-1.44379826565,1.01637287687,-2.05348366113,0.834276657162,-1.66685127882,0.807288697299,0.0,0.992823697169,0.0,1.00190735584,0.0,0.817489640954,0.0,0.794053014473
8.0,0.191138809686,0.990926025772,1.05660716972,0.991321130889,0.21465878871,0.815734827592,1.15237911585,0.784902513365,0.191138809686,0.990926025772,1.05660716972,0.991321130889,0.21465878871,0.815734827592,1.15237911585,0.784902513365,-1.99110877008,1.01259189687,-1.3509497093,1.01544262036,-2.05043946314,0.834251771159,-1.57771747458,0.806580927639,0.0,0.992823697169,0.0,1.00190735584,0.0,0.817489640954,0.0,0.794053014473
9.0,0.250644045406,0.990335243691,1.08007385237,0.991086016469,0.252279492388,0.815427282237,1.15490298294,0.784882472522,0.250644045406,0.990335243691,1.08007385237,0.991086016469,0.252279492388,0.815427282237,1.15490298294,0.784882472522,-1.98966323336,1.01257754524,-1.2907633682,1.01483960898,-2.01890147575,0.833993951379,-1.48632513954,0.805855224048,0.0,0.992823697169,0.0,1.00190735584,0.0,0.817489640954,0.0,0.794053014473
