alpha,RMSE.ByUser,RMSE.ByRating,MAE.ByUser,MAE.ByRating
1.0,0.90431261217,0.943750887916,0.738052937033,0.738052937033
2.0,0.903614700062,0.942991729408,0.73743634916,0.73743634916
3.0,0.902883557316,0.94221360307,0.736653678162,0.736653678162
4.0,0.902025720541,0.941339095792,0.736104931664,0.736104931664
5.0,0.901533661146,0.940854744994,0.735643596294,0.735643596294
6.0,0.901334437476,0.940576588272,0.735443206253,0.735443206253
7.0,0.900993615944,0.940175892721,0.735208785971,0.735208785971
8.0,0.9009527064,0.940177070282,0.735259522712,0.735259522712
9.0,0.901230255965,0.940477029951,0.735392511526,0.735392511526
10.0,0.901680725105,0.9408206416,0.735569409912,0.735569409912
11.0,0.902390281626,0.941488221542,0.735997585383,0.735997585383
12.0,0.90292402241,0.942058432802,0.736413473682,0.736413473682
