alpha,RMSE.ByUser,RMSE.ByRating,MAE.ByUser,MAE.ByRating
1.0,0.904008330133,0.943437668519,0.737703966444,0.737703966444
2.0,0.90328208925,0.942652947742,0.737020701677,0.737020701677
3.0,0.902570488068,0.94190128055,0.736363950955,0.736363950955
4.0,0.90162016505,0.940927609576,0.735602616491,0.735602616491
5.0,0.900995481569,0.940309132171,0.735020556372,0.735020556372
6.0,0.900687302135,0.939926107285,0.734839306059,0.734839306059
7.0,0.900404897286,0.939580017851,0.734643112047,0.734643112047
8.0,0.900579974916,0.939743194914,0.734845506753,0.734845506753
9.0,0.900713111397,0.939910973208,0.734943732339,0.734943732339
10.0,0.901388416651,0.940536487526,0.735387466816,0.735387466816
11.0,0.902101683767,0.94119469864,0.73573140405,0.73573140405
12.0,0.902697408103,0.941817776427,0.736204142763,0.736204142763
