alpha,RMSE.ByUser,RMSE.ByRating,MAE.ByUser,MAE.ByRating
1.0,0.902802100747,0.942089412065,0.73653081739,0.73653081739
2.0,0.901847494954,0.940974398955,0.735504940121,0.735504940121
3.0,0.9014896351,0.940527731019,0.73534705013,0.73534705013
4.0,0.901479776186,0.940292412862,0.735417140887,0.735417140887
5.0,0.901969922442,0.94075437038,0.735965160326,0.735965160326
6.0,0.902597119709,0.941372327437,0.736443148225,0.736443148225
7.0,0.903854718475,0.942691252024,0.737568519504,0.737568519504
8.0,0.905157609952,0.944142665459,0.738745036374,0.738745036374
9.0,0.906591630815,0.945562806338,0.739574314428,0.739574314428
10.0,0.907636097622,0.946570204778,0.740259319052,0.740259319052
