alpha,RMSE.ByUser,RMSE.ByRating,MAE.ByUser,MAE.ByRating
1.0,0.928779945065,0.968030938495,0.764497498202,0.764497498202
2.0,0.933850239146,0.972826555463,0.76845299821,0.76845299821
3.0,0.936177974966,0.975155918684,0.770779681436,0.770779681436
4.0,0.936877031765,0.975967575225,0.771627928755,0.771627928755
5.0,0.937424618244,0.976346190155,0.771951344989,0.771951344989
6.0,0.937465911327,0.976415838332,0.772264994304,0.772264994304
7.0,0.937612925828,0.97658143054,0.772289740437,0.772289740437
8.0,0.937773618365,0.976750459771,0.772513982048,0.772513982048
9.0,0.937731175421,0.976788074833,0.772579453036,0.772579453036
10.0,0.937653319162,0.976674921702,0.772580729785,0.772580729785
11.0,0.938019984157,0.977033930089,0.773039342018,0.773039342018
12.0,0.938136421294,0.977168023311,0.773169781526,0.773169781526
